ExampleOrder-FullTick,1983-04-20 00:00:00.000,-2800,0,-2800
Portfolio,1983-04-20 00:00:00.000,-10400,0,-10400
ExampleOrder-Daily4Sim,1983-04-21 00:00:00.000,-2800,0,-2800
ExampleReversal-Daily4Sim,1983-04-21 00:00:00.000,15200,-200,15000
Portfolio-Daily4Sim,1983-04-21 00:00:00.000,2400,-200,2200
ExampleOrder-FullTick,1983-04-21 00:00:00.000,-2800,0,-2800
Portfolio,1983-04-21 00:00:00.000,-10400,-200,-10600
ExampleOrder-Daily4Sim,1983-04-22 00:00:00.000,-2800,-500,-3300
ExampleReversal-Daily4Sim,1983-04-22 00:00:00.000,15200,500,15700
Portfolio-Daily4Sim,1983-04-22 00:00:00.000,2400,0,2400
ExampleOrder-FullTick,1983-04-22 00:00:00.000,-2800,-500,-3300
Portfolio,1983-04-22 00:00:00.000,-10400,-500,-10900
Portfolio,1983-04-23 00:00:00.000,-10400,-500,-10900
ExampleOrder-Daily4Sim,1983-04-25 00:00:00.000,-2800,400,-2400
ExampleReversal-Daily4Sim,1983-04-25 00:00:00.000,15200,1400,16600
Portfolio-Daily4Sim,1983-04-25 00:00:00.000,2400,1800,4200
ExampleOrder-FullTick,1983-04-25 00:00:00.000,-2800,400,-2400
Portfolio,1983-04-25 00:00:00.000,-10400,2200,-8200
ExampleOrder-Daily4Sim,1983-04-26 00:00:00.000,-3400,0,-3400
ExampleReversal-Daily4Sim,1983-04-26 00:00:00.000,15200,100,15300
Portfolio-Daily4Sim,1983-04-26 00:00:00.000,2400,100,2500
ExampleOrder-FullTick,1983-04-26 00:00:00.000,-3400,0,-3400
Portfolio,1983-04-26 00:00:00.000,-10400,100,-10300
ExampleOrder-Daily4Sim,1983-04-27 00:00:00.000,-3400,200,-3200
ExampleReversal-Daily4Sim,1983-04-27 00:00:00.000,16200,200,16400
Portfolio-Daily4Sim,1983-04-27 00:00:00.000,2800,400,3200
ExampleOrder-FullTick,1983-04-27 00:00:00.000,-3400,200,-3200
Portfolio,1983-04-27 00:00:00.000,-11000,600,-10400
ExampleOrder-Daily4Sim,1983-04-28 00:00:00.000,-3400,600,-2800
ExampleReversal-Daily4Sim,1983-04-28 00:00:00.000,16200,600,16800
Portfolio-Daily4Sim,1983-04-28 00:00:00.000,2800,1200,4000
ExampleOrder-FullTick,1983-04-28 00:00:00.000,-3400,600,-2800
Portfolio,1983-04-28 00:00:00.000,-10600,1800,-8800
ExampleOrder-Daily4Sim,1983-04-29 00:00:00.000,-2400,0,-2400
ExampleReversal-Daily4Sim,1983-04-29 00:00:00.000,16200,1700,17900
Portfolio-Daily4Sim,1983-04-29 00:00:00.000,2800,1700,4500
ExampleOrder-FullTick,1983-04-29 00:00:00.000,-2400,0,-2400
Portfolio,1983-04-29 00:00:00.000,-10600,1700,-8900
Portfolio,1983-04-30 00:00:00.000,-9600,1700,-7900
ExampleOrder-Daily4Sim,1983-05-02 00:00:00.000,-2400,500,-1900
ExampleReversal-Daily4Sim,1983-05-02 00:00:00.000,16200,1900,18100
Portfolio-Daily4Sim,1983-05-02 00:00:00.000,2800,2400,5200
ExampleOrder-FullTick,1983-05-02 00:00:00.000,-2400,500,-1900
Portfolio,1983-05-02 00:00:00.000,-9600,2900,-6700
ExampleOrder-Daily4Sim,1983-05-03 00:00:00.000,-2400,1600,-800
ExampleReversal-Daily4Sim,1983-05-03 00:00:00.000,16200,3000,19200
Portfolio-Daily4Sim,1983-05-03 00:00:00.000,2800,4600,7400
ExampleOrder-FullTick,1983-05-03 00:00:00.000,-2400,1600,-800
Portfolio,1983-05-03 00:00:00.000,-9600,6200,-3400
ExampleOrder-Daily4Sim,1983-05-04 00:00:00.000,-2400,2400,0
ExampleReversal-Daily4Sim,1983-05-04 00:00:00.000,16200,3800,20000
Portfolio-Daily4Sim,1983-05-04 00:00:00.000,2800,6200,9000
ExampleOrder-FullTick,1983-05-04 00:00:00.000,-2400,2400,0
Portfolio,1983-05-04 00:00:00.000,-9600,8600,-1000
ExampleOrder-Daily4Sim,1983-05-05 00:00:00.000,-2400,4600,2200
ExampleReversal-Daily4Sim,1983-05-05 00:00:00.000,16200,6000,22200
Portfolio-Daily4Sim,1983-05-05 00:00:00.000,2800,10600,13400
ExampleOrder-FullTick,1983-05-05 00:00:00.000,-2400,4600,2200
Portfolio,1983-05-05 00:00:00.000,-9600,15200,5600
ExampleOrder-Daily4Sim,1983-05-06 00:00:00.000,-2400,5400,3000
ExampleReversal-Daily4Sim,1983-05-06 00:00:00.000,16200,6800,23000
Portfolio-Daily4Sim,1983-05-06 00:00:00.000,2800,12200,15000
ExampleOrder-FullTick,1983-05-06 00:00:00.000,-2400,5400,3000
Portfolio,1983-05-06 00:00:00.000,-9600,17600,8000
Portfolio,1983-05-07 00:00:00.000,-9600,17600,8000
ExampleOrder-Daily4Sim,1983-05-09 00:00:00.000,-2400,5600,3200
ExampleReversal-Daily4Sim,1983-05-09 00:00:00.000,16200,7000,23200
Portfolio-Daily4Sim,1983-05-09 00:00:00.000,2800,12600,15400
ExampleOrder-FullTick,1983-05-09 00:00:00.000,-2400,5600,3200
Portfolio,1983-05-09 00:00:00.000,-9600,18200,8600
ExampleOrder-Daily4Sim,1983-05-10 00:00:00.000,-2400,3500,1100
ExampleReversal-Daily4Sim,1983-05-10 00:00:00.000,16200,4900,21100
Portfolio-Daily4Sim,1983-05-10 00:00:00.000,2800,8400,11200
ExampleOrder-FullTick,1983-05-10 00:00:00.000,-2400,3500,1100
Portfolio,1983-05-10 00:00:00.000,-9600,11900,2300
